"OriginalPath","BackupPath","SizeBytes","LastWriteTime"
"C:\Users\labuser\AppData\Local\Temp\2\863c1671-1f15-4a4c-804e-c89ea4b1fca7.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\863c1671-1f15-4a4c-804e-c89ea4b1fca7.tmp","0","8/10/2026 3:27:08 AM"
"C:\Users\labuser\AppData\Local\Temp\2\a44492e8-76d5-4a3e-ab4d-7f33bcf9f9fe.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\a44492e8-76d5-4a3e-ab4d-7f33bcf9f9fe.tmp","811154","8/10/2026 3:28:14 AM"
"C:\Users\labuser\AppData\Local\Temp\2\b3e11e57-181b-4138-8dcd-326c756be174.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\b3e11e57-181b-4138-8dcd-326c756be174.tmp","9616","8/10/2026 3:40:46 AM"
"C:\Users\labuser\AppData\Local\Temp\2\ba7ca847-f146-4f8b-8585-73b5169faa28.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\ba7ca847-f146-4f8b-8585-73b5169faa28.tmp","0","8/10/2026 3:27:07 AM"
"C:\Users\labuser\AppData\Local\Temp\2\c32a104b-af4e-4533-aa56-02b53f0f999d.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\c32a104b-af4e-4533-aa56-02b53f0f999d.tmp","188095","8/10/2026 3:28:44 AM"
"C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\cv_debug.log","122","8/10/2026 3:27:35 AM"
"C:\Users\labuser\AppData\Local\Temp\2\de641edc-357e-4573-8ce8-a9586c2bbceb.tmp","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\de641edc-357e-4573-8ce8-a9586c2bbceb.tmp","0","8/10/2026 3:27:06 AM"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","10","8/10/2026 3:27:15 AM"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py","176","8/10/2026 3:27:15 AM"
"C:\Users\labuser\AppData\Local\Temp\2\system-commandline-sentinel-files\dotnet-suggest-registration-git-credential-manager, Version=2.9.0.0, Culture=neutral, PublicKeyToken=null","C:\Users\labuser\Documents\Training\Day 3\CleanupRollback\20260810_040205\Users\labuser\AppData\Local\Temp\2\system-commandline-sentinel-files\dotnet-suggest-registration-git-credential-manager, Version=2.9.0.0, Culture=neutral, PublicKeyToken=null","501","8/10/2026 3:56:50 AM"
